Company Name,Industry,Round/Series,Amount,Location,About Company
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India."
Pooltoo,Transportation,Seed,—,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.
Finzy,"Financial Services, Lending",Seed,1300000,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,—,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.
Tolet for Students,Hospitality,Seed,"₹5,000,000","Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education."
Chai Kings,"Food and Beverage, Tea",Seed,"₹20,000,000","Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,"₹40,000,000","Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,"₹20,000,000","Bengaluru, Karnataka, India",Playtoome is a live entertainment destination
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,"₹12,500,000","New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.
Arogya MedTech,"Health Care, Medical",Seed,"₹15,000,000","Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.
Propshop24,E-Commerce,Seed,500000,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world."
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000,"New Delhi, Delhi, India",To bring health issues to people in their language.
MissMalini Entertainment,—,Seed,"₹104,000,000","Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians."
Rooter,Sports,Seed,"₹45,000,000","India, Asia",Rooter is a mobile-based platform
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,—,"Bengaluru, Karnataka, India",Advancing AI compute
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers
Sattviko,"Food Processing, Retail",Angel,—,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!
Sensibull,Trading Platform,Seed,"₹25,000,000","Bangalore, Karnataka, India",Investment Management Platform
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,—,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup
MedCords,Wellness,Seed,"₹26,400,000","Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier
University Living,Education,Seed,—,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,—,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.
Enakshi,Fashion,Seed,"₹8,000,000","Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,"₹60,000","Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.
Inthree Access,"Consulting, Retail, Social",Series A,4000000,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.
Guardian.in,Health Care,Seed,—,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans."
Wimoxez,Internet,Seed,20000,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow."
India Accelerator,"Communities, Coworking, Incubators",Angel,—,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,—,"Azadpur, Delhi, India",Premium Personal Assistance service
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences."
Propelld,"Education, Financial Services, FinTech",Seed,250000,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,—,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.
Carmesi,Health Care,Seed,"₹34,000,000","Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.
OckyPocky,"E-Learning, Internet, Video Games",Angel,—,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,"₹342,000,000","Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors."
WHR,"Health Care, Information Technology",Seed,"$143,145","Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible."
Asteria Aerospace,Aerospace,Seed,—,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,"₹600,000,000","Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar"
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,—,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.
SBI Life,Insurance,Private Equity,"$742,000,000","Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.
Studds Accessories,E-Commerce,Private Equity,"₹1,000,000,000","Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,"₹2,000,000,000","Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget."
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,"$3,980,000","New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions"
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,"₹2,000,000,000","Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,"$10,000","Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection"
Khidki,"Artificial Intelligence, Social",Seed,—,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions
LetsTransport,"Logistics, Transportation, Travel",Series B,"₹1,000,000,000","Bangalore, Karnataka, India",Lets transport is a logistics solution provider.
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,"₹100,000","Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,"₹250,000,000","Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,"₹2,000,000,000","Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market."
Swiggy,"Food Delivery, Food Processing, Internet",Series H,"$1,000,000,000","Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,"$7,000,000","Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge."
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,—,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan
Toppr,"EdTech, Education, Knowledge Management",Series C,"$35,000,000","Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.
Jagaran Microfin,—,Debt Financing,"₹550,000,000","Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial
Vivriti Capital,Financial Services,Venture - Series Unknown,"$28,500,000","Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,"₹30,000,000","New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,"$2,000,000","Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals."
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,"₹240,000,000","Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,—,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.
Generico,"Health Care, Medical, Pharmaceutical",Series A,—,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.
Adiuvo Diagnostics,Health Diagnostics,Seed,—,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.
DataTrained,"EdTech, Education",Seed,"₹120,000,000","Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science"
OneAssist,"Financial Services, SaaS, Security",Debt Financing,"$2,400,000","Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,"$30,000,000","New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.
APAC Financial Services,"Finance, Financial Services",Private Equity,"₹2,500,000,000","Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.
Moglix,"B2B, E-Commerce, Mobile",Series C,"$23,000,000","Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment."
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,—,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.
MadGuy Labs,E-Learning,Venture - Series Unknown,"$150,000","Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,—,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.
FLEECA,—,Seed,—,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.
Shop101,"Apps, E-Commerce, Internet",Series B,"$11,000,000","Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,"₹44,000,000","Bangalore City, Karnataka, India",On Demand Staffing Platform
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,"$3,240,000","Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.
Ambee,"Health Care, Medical Device, Public Safety",Angel,—,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,"₹60,000,000","Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery."
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,"₹2,500,000,000","Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,—,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.
Zestl,Software,Seed,—,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in."
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,"$540,000,000","Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,"₹650,000,000","Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.
Hero Electric,Manufacturing,Venture - Series Unknown,"₹1,600,000,000","New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry."
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,—,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite
PerkFinance,"Consumer Lending, FinTech",Seed,"$900,000","Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company
Roposo,"Internet, Social Network, TV",Series C,"$10,000,000","Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.
Plum Goodness,"Beauty, Health Care",Series A,—,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair
Drstore,Hospital,Seed,—,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.
Wow Venue,Events,Venture - Series Unknown,"$1,500,000","Mumbai, Maharashtra, India",Wow Venue is an online platform.
Chizel,"3D Printing, Manufacturing, Product Design",Seed,—,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining
OTO Capital,Automotive,Seed,"₹50,000,000","Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.
Boodmo,"Automotive, Retail",Seed,"₹70,000,000","Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.
Khabri,"Apps, Audio",Seed,—,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,"$1,000,000","Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,"$5,000,000","Bangalore, Karnataka, India",A daily fantasy sports platform.
PlanetSpark,"E-Learning, EdTech, Education",Seed,"₹16,000,000","Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.
WheelsEMI,—,Series B,"$14,000,000","Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd."
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,"₹102,500,000","Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab."
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,"$100,000,000","Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,"₹550,000,000","Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India."
Tabono,Sports,Seed,—,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.
LearnApp,"Banking, E-Learning, Trading Platform",Seed,"₹20,000,000","Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance."
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,"$2,000,000","Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.
Fric Bergen,—,Venture - Series Unknown,—,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.
Articbot,"Artificial Intelligence, Information Technology",Grant,"₹1,200,000","Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,"₹250,000,000","Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,"₹5,200,000,000","New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI
Any time Doctor,Software,Angel,—,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.
Go Payments,"Information Services, Information Technology",Corporate Round,—,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,"$800,000","Mumbai, Maharashtra, India",We build In-Destination Experiences!
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,"$1,041,000","Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.
UnoTag,Artificial Intelligence,Pre-Seed,"$100,000","Bangalore, Karnataka, India",SaaS to verify counterfeit
CivilCops,"Government, Information Technology, Software",Pre-Seed,"$100,000","Gurgaon, Haryana, India",Gov-Tech
Rockmetric,Information Technology,Grant,—,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement."
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,"₹100,000","Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education"
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,—,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card."
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,"$15,000","Bangalore, Karnataka, India",Ai platform for Art and Creative Community
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.
iChamp,E-Learning,Seed,5000000,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.
Qandle,Software,Seed,1200000,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.
Avishkaar Box,"Children, Education, Parenting",Seed,"₹50,000,000","Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution"
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,—,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets
Deftouch,—,Seed,—,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.
DronaHQ,Mobile,Angel,500000,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.
FastFox,Rental,Series A,"₹100,000,000","Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India)
BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,2000000,"Bangalore, Karnataka, India",BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.
Colive.in,Consumer,Seed,1800000,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.
